1,108,108
32,197,197
63,306,306
94,159,159
125,182,182
156,157,157
187,467,467
218,488,488
249,237,505
280,491,505
311,522,522
342,360,360
373,127,127
404,129,129
435,290,290
466,530,530
497,638,638
528,584,661.5
560,377,661.5
591,167,661.5
622,116,661.5
653,215,661.5
684,465,661.5
715,669,661.5
746,685,685
777,505,505
808,244,244
839,120,120
870,141,141
901,327,327
932,586,586
963,702,702
994,633,754
1025,392,754
1056,166,754
1087,118,754
1118,209,754
1149,462,754
1180,732,754
1211,806,806
1242,657,657
1273,358,358
1304,154,154
1335,119,119
1366,216,216
1397,481,481
1428,764,764
1459,828,828
1490,659,878.5
1521,358,878.5
1552,156,878.5
1583,125,878.5
1614,216,878.5
1645,481,878.5
1676,798,878.5
1707,929,929
1738,792,792
1769,471,471
1800,201,201
1831,121,121
1862,150,150
1893,350,350
1924,679,679
1955,512,512
1986,851,851
2017,993,993
2048,838,1020.5
2079,495,1020.5
2110,222,1020.5
2141,126,1020.5
2172,147,1020.5
2203,335,1020.5
2234,666,1020.5
2265,995,1020.5
2296,1048,1048
2327,790,790
2358,440,440
2389,189,189
2420,121,121
2451,148,148
2482,351,351
2513,713,713
2544,1049,1049
2575,1102,1102
2606,811,1072.5
2637,444,1072.5
2668,186,1072.5
2699,122,1072.5
2730,147,1072.5
2761,351,1072.5
2792,1043,1043
2823,697,697
2854,355,355
2885,151,151
2916,125,125
2947,195,195
2978,475,475
3009,859,859
3040,1194,1194
3071,1219,1219
3103,876,1377
3134,491,1377
3165,206,1377
3196,127,127
3227,125,125
3258,124,124
3289,124,124
3320,124,124
3351,124,124
3382,124,124
3413,124,124
3444,125,125
3475,126,126
3506,127,127
3537,126,126
3568,126,126
3599,127,127
3630,164,164
3661,385,1377
3692,770,1377
3723,1172,1377
3754,1456,1377
3785,1534,1377
3817,1535,1535
3848,1448,1448
3879,1144,1144
3910,725,725
3942,346,346
3973,153,153
4004,132,132
4035,181,181
4066,443,443
4097,846,846
4128,1256,1256
4159,1452,1452
4190,1230,1473
4221,816,1473
4252,421,1473
4283,175,1473
4314,130,1473
4345,156,1473
4376,370,1473
4407,773,1473
4438,1188,1473
4469,1494,1494
4499,1423,1423
4533,1016,1016
4565,568,568
4596,231,231
4627,130,130
4658,132,132
4689,257,257
4720,601,601
4751,1033,1033
4782,1419,1419
4813,1538,1538
4844,1299,1547.5
4875,867,1547.5
4906,457,1547.5
4937,189,1547.5
4968,130,1547.5
4999,142,1547.5
5030,300,1547.5
5061,684,1547.5
5092,1144,1547.5
5123,1502,1547.5
5154,1557,1557
5185,1253,1253
5216,822,822
5247,399,399
5278,167,167
5309,128,128
5340,154,154
5371,349,349
5402,765,765
5433,1213,1213
5464,1550,1550
5495,1589,1589
5526,1278,1621.5
5557,825,1621.5
5588,421,1621.5
5619,171,1621.5
5650,132,1621.5
5681,151,1621.5
5712,337,1621.5
5743,736,1621.5
5774,1207,1621.5
5805,1563,1621.5
5836,1654,1654
5867,1463,1463
5898,1064,1064
5929,608,608
5960,256,256
5991,137,137
6022,135,135
6053,229,229
6084,558,558
6115,1021,1021
6146,1454,1454
6177,1673,1673
6208,1629,1686
6239,1320,1686
6270,864,1686
6302,411,1686
6333,169,1686
6364,131,1686
6395,145,1686
6426,325,1686
6457,736,1686
6488,1198,1686
6519,1585,1686
6550,1699,1699
6581,1574,1574
6612,1194,1194
6643,735,735
6674,319,319
6705,149,149
6736,135,135
6767,172,172
6798,411,411
6829,860,860
6860,1326,1326
6891,1649,1649
6922,1714,1714
6953,1560,1723
6984,1165,1723
7015,688,1723
7046,308,1723
7077,142,1723
7108,132,1723
7139,184,1723
7170,463,1723
7201,911,1723
7232,1378,1723
7263,1676,1723
7294,1732,1732
7325,1606,1606
7356,1240,1240
7387,762,762
7418,339,339
7449,154,154
7480,133,133
7511,161,161
7543,407,407
7574,843,843
7605,1340,1340
7636,1672,1672
7667,1756,1756
7698,1681,1761
7729,1378,1761
7760,905,1761
7791,436,1761
7822,179,1761
7853,132,1761
7884,142,1761
7915,288,1761
7946,684,1761
7977,1194,1761
8008,1594,1761
8039,1761,1761
8070,1766,1766
8101,1595,1595
8132,1194,1194
8163,686,686
8194,286,286
8225,144,144
8256,136,136
8287,188,188
8318,459,459
8349,929,929
8380,1419,1419
8411,1721,1721
8442,1781,1781
8473,1746,1787
8504,1492,1787
8535,1024,1787
8566,525,1787
8597,210,1787
8628,136,1787
8659,139,1787
8690,246,1787
8721,587,1787
8752,1088,1787
8783,1542,1787
8814,1764,1787
8845,1793,1793
8876,1701,1701
8907,1358,1358
8938,869,869
8969,407,407
9000,171,171
9031,137,137
9062,151,151
9093,324,324
9124,751,751
9155,1242,1242
9186,1640,1640
9217,1795,1795
9248,1799,1799
9279,1686,1808.5
9310,1327,1808.5
9341,826,1808.5
9372,372,1808.5
9403,161,1808.5
9434,137,1808.5
9465,159,1808.5
9496,362,1808.5
9527,819,1808.5
9558,1323,1808.5
9589,1703,1808.5
9620,1810,1808.5
9651,1818,1818
9682,1716,1716
9713,1351,1351
9744,844,844
9775,394,394
9806,170,170
9837,138,138
9868,155,155
9899,310,310
9930,728,728
9961,1252,1252
9992,1673,1673
10023,1810,1810
10054,1821,1821
10085,1736,1826
10116,1389,1826
10147,880,1826
10178,397,1826
10209,172,1826
10240,138,1826
10271,150,1826
10302,310,1826
10333,715,1826
10364,1231,1826
10395,1652,1826
10426,1816,1826
10457,1831,1831
10488,1773,1773
10519,1481,1481
10550,1003,1003
10581,501,501
10612,198,198
10643,139,139
10674,141,141
10705,242,242
10736,604,604
10767,1114,1114
10798,1575,1575
10829,1805,1805
10860,1836,1836
10891,1804,1836
10922,1574,1836
10953,1116,1836
10984,587,1836
11015,248,1836
11046,142,1836
11077,141,1836
11108,218,1836
11139,536,1836
11170,1059,1836
11201,1526,1836
11232,1791,1836
11263,1836,1836
11294,1824,1824
11325,1694,1694
11356,1305,1305
11387,763,763
11418,337,337
11449,154,154
11480,138,138
11511,166,166
11542,386,386
11573,877,877
11604,1370,1370
11635,1729,1729
11666,1826,1826
11697,1829,1829
11728,1749,1831
11759,1424,1831
11790,916,1831
11821,431,1831
11852,185,1831
11883,140,1831
11914,149,1831
11945,292,1831
11976,702,1831
12007,1226,1831
12038,1651,1831
12069,1818,1831
12100,1833,1833
12131,1801,1801
12162,1561,1561
12193,1088,1088
12224,573,573
12255,238,238
12286,141,141
12317,141,141
12348,216,216
12379,531,531
12410,1050,1050
12441,1529,1529
12472,1780,1780
12503,1830,1830
12534,1814,1831
12565,1645,1831
12596,1204,1831
12627,688,1831
12658,284,1831
12689,149,1831
12720,140,1831
12751,183,1831
12782,439,1831
12813,928,1831
12844,1446,1831
12875,1760,1831
12906,1832,1832
12937,1825,1825
12968,1702,1702
12999,1317,1317
13030,789,789
13061,358,358
13092,161,161
13123,141,141
13154,164,164
13185,376,376
13216,853,853
13247,1363,1363
13278,1725,1725
13309,1827,1827
13340,1833,1833
13371,1757,1828.5
13402,1430,1828.5
13433,908,1828.5
13464,436,1828.5
13495,182,1828.5
13526,142,1828.5
13557,155,1828.5
13588,316,1828.5
13619,728,1828.5
13650,1260,1828.5
13681,1663,1828.5
13712,1817,1828.5
13743,1824,1824
13774,1768,1768
13805,1480,1480
13836,992,992
13867,491,491
13898,197,197
13929,142,142
13960,149,149
13991,276,276
14022,646,646
14053,1159,1159
14084,1614,1614
14115,1799,1799
14146,1817,1817
14177,1766,1819.5
14208,1494,1819.5
14239,1018,1819.5
14270,506,1819.5
14301,206,1819.5
14332,142,1819.5
14363,145,1819.5
14394,262,1819.5
14425,639,1819.5
14456,1163,1819.5
14487,1609,1819.5
14518,1800,1819.5
14549,1822,1822
14580,1776,1776
14611,1517,1517
14642,1032,1032
14673,533,533
14704,211,211
14735,140,140
14766,146,146
14797,263,263
14828,645,645
14859,1177,1177
14890,1615,1615
14921,1796,1796
14952,1812,1812
14983,1722,1807
15014,1377,1807
15045,855,1807
15076,401,1807
15107,171,1807
15138,139,1807
15169,156,1807
15200,342,1807
15231,783,1807
15262,1292,1807
15293,1683,1807
15324,1802,1802
15355,1795,1795
15386,1619,1619
15417,1192,1192
15448,675,675
15479,279,279
15510,148,148
15541,139,139
15572,196,196
15603,476,476
15634,989,989
15665,1291,1291
15696,1672,1672
15727,1777,1777
15758,1774,1776.5
15789,1573,1776.5
15820,1136,1776.5
15851,629,1776.5
15882,259,1776.5
15913,142,1776.5
15944,140,1776.5
15975,210,1776.5
16006,521,1776.5
16037,1007,1776.5
16068,1477,1776.5
16099,1726,1776.5
16130,1776,1776
16161,1671,1671
16192,1299,1299
16223,789,789
16254,355,355
16285,156,156
16316,136,136
16347,175,175
16378,427,427
16409,874,874
16440,1365,1365
16471,1689,1689
16502,1772,1772
16533,1694,1769
16564,1365,1769
16595,871,1769
16626,419,1769
16657,166,1769
16688,134,1769
16719,159,1769
16750,374,1769
16781,815,1769
16812,1314,1769
16843,1665,1769
16874,1766,1766
16905,1675,1675
16936,1341,1341
16967,854,854
16998,407,407
17029,171,171
17060,134,134
17091,164,164
17122,391,391
17153,135,135
17184,225,225
17216,574,574
17248,1080,1080
17279,1138,1138
17310,1549,1549
17341,1735,1735
17372,1670,1670
17403,1353,1353
17434,870,870
